product_id,product_name,category,sub_category,price,brand,related_accessories
1,Moto G82 5G (8GB/128GB),Electronics,Smartphones,24999,Motorola,"2,3,4,5,12,13"
2,Moto G82 Protective Case,Accessories,Phone Cases,499,Motorola,1
3,Tempered Glass Screen Protector,Accessories,Screen Protectors,299,Spigen,1
4,Wireless Bluetooth Earphones,Electronics,Audio,1999,OnePlus,"1,6,7,14,15"
5,50W Fast Charger,Electronics,Chargers,899,Anker,"1,6,7,16"
6,Samsung Galaxy S23 Ultra,Electronics,Smartphones,124999,Samsung,"4,5,8,9,17"
7,iPhone 15 Pro Max,Electronics,Smartphones,159999,Apple,"4,5,10,11,18"
8,Galaxy S23 Ultra Case,Accessories,Phone Cases,1299,Spigen,6
9,Galaxy S23 Screen Protector,Accessories,Screen Protectors,599,ESR,6
10,iPhone 15 Pro Case,Accessories,Phone Cases,1499,Apple,7
11,iPhone Screen Protector,Accessories,Screen Protectors,799,Belkin,7
12,Power Bank 20000mAh,Electronics,Power Banks,2499,Anker,"1,6,7"
13,Wireless Charging Stand,Electronics,Chargers,1499,Samsung,"1,6,7"
14,Noise Cancelling Headphones,Electronics,Audio,8999,Sony,"4,15"
15,Portable Bluetooth Speaker,Electronics,Audio,3999,JBL,"4,14"
16,USB-C to Lightning Cable,Electronics,Cables,899,Apple,"5,7"
17,S Pen Pro,Accessories,Stylus,4999,Samsung,6
18,MagSafe Wallet,Accessories,Phone Accessories,2999,Apple,7
19,MacBook Air M2,Computers,Laptops,114999,Apple,"20,21,22"
20,MacBook Pro Sleeve,Accessories,Laptop Accessories,1999,Tomtoc,19
21,USB-C Hub 7-in-1,Electronics,Adapters,3499,Anker,19
22,Wireless Mouse,Computers,Peripherals,2999,Logitech,19
25,Soundbar 5.1,Electronics,Audio,24999,Sony,23
26,PlayStation 5,Electronics,Gaming Consoles,54999,Sony,"27,28,29"
27,PS5 DualSense Controller,Accessories,Gaming Accessories,5999,Sony,26
28,4K Gaming Monitor,Electronics,Monitors,34999,LG,26
29,Gaming Headset,Electronics,Audio,7999,SteelSeries,26
30,Apple Watch Series 9,Electronics,Wearables,45999,Apple,"31,32"
31,Sport Band,Accessories,Watch Bands,3999,Apple,30
32,Wireless Charger,Electronics,Chargers,1999,Belkin,30
40,Apple Watch SE,Electronics,Wearables,29999,Apple,"31,32"
41,Fitness Tracker,Electronics,Wearables,4999,Xiaomi,42
42,Replacement Band,Accessories,Wearable Accessories,999,Xiaomi,41
